Class;LocalEapprxmaxLvl;LocalEapprxmaxVal;LocalEdetmaxLvl;LocalEdetmaxVal;GlobalEapprxmaxLvl;GlobalEapprxmaxVal;GlobalEdetmaxLvl;GlobalEdetmaxVal;standard deviation;kurtosis;skewness;ACF_max_lvl;ACF_max_val
1;0; 462.25;2; 150.06;0; 42917.75;2; 3454.58; 3.34672; 8.74918; 0.11199;  1.00000; 0.87521
1;0; 380.25;3; 139.54;0; 19083.50;2; 1671.47; 2.23798; 23.27582; 0.23038;  1.00000; 0.86315
1;0; 1296.00;2; 280.56;0; 308269.75;2; 25248.20; 4.47533; 7.55783; 0.09632;  1.00000; 0.87818
1;0; 529.00;3; 201.29;0; 133078.50;2; 10909.69; 4.13475; 6.10194; 0.05132;  1.00000; 0.90100
1;0; 21756.25;3; 139.54;0; 67126155.50;2; 1671.47; 2.23798; 23.27582; 0.23038;  1.00000; 0.86315
1;0; 26896.00;2; 280.56;0; 268745645.75;2; 25248.20; 4.47533; 7.55783; 0.09632;  1.00000; 0.87818
1;0; 22801.00;3; 201.29;0; 134355414.50;2; 10909.69; 4.13475; 6.10194; 0.05132;  1.00000; 0.90100
1;0; 22350.25;2; 150.06;0; 67148325.75;2; 3454.58; 3.34672; 8.74918; 0.11199;  1.00000; 0.87521
2;0; 2704.00;3; 1004.10;0; 295571.00;2; 26049.91; 8.67267; 8.03936; 0.35575;  1.00000; 0.91954
2;0; 992.25;3; 317.29;0; 43451.75;2; 2905.73; 3.32609; 21.13135; 0.08201;  1.00000; 0.91410
2;0; 1764.00;3; 597.19;0; 666613.25;2; 54450.20; 6.53871; 6.18797; 0.11444;  1.00000; 0.90339
2;0; 961.00;3; 297.56;0; 80087.75;1; 6506.56; 4.53869; 8.91472; -0.06168;  1.00000; 0.89457
2;0; 25440.25;3; 317.29;0; 67154747.75;2; 2905.73; 3.32609; 21.13135; 0.08201;  1.00000; 0.91410
2;0; 28900.00;3; 597.19;0; 269102453.25;2; 54450.20; 6.53871; 6.18797; 0.11444;  1.00000; 0.90339
2;0; 25281.00;3; 297.56;0; 67187799.75;1; 6506.56; 4.53869; 8.91472; -0.06168;  1.00000; 0.89457
2;0; 32400.00;3; 1004.10;0; 67397523.00;2; 26049.91; 8.67267; 8.03936; 0.35575;  1.00000; 0.91954
